nào			który; który?	
bao nhiêu			ile	
nhiều			dużo; wiele	
lắm			dużo; bardzo	
họ			oni; nazwisko	
anh			ty; Anglia; starszy brat; angielski; older brother; he	do rówieśnika
cô			ciotka; młoda kobieta; pani	
sân bay			lotnisko	w dialekcie północnym
nhà hàng			restauracja	
đến			przybyć; do; przybywać; przybyć do	
làm			robić	
làm việc			pracować	
ăn			jeść; eat	
uống			pić	
được			można; móc; w porządku; musieć	
nói			mówić	
xem			oglądać; obejrzeć	
nước			kraj; woda; płyn; sok; country; water	
trà			herbata	(S)
