Phrase	Transcription	Notes
{{c1::إِنْتِ مِنِينْ::Skąd jesteś}}؟	{{c1::Enti mnēn}}?	r.ż.
أنَا {{c1::مِنْ مَصْر::z Egiptu}}.	Anā {{c1::min Maṣr}}.
أنَا {{c1::مَصْرِية::jestem Egipcjanką}}.	Anā {{c1::maṣriyya}}.
أنَا {{c1::إِنْجِلِيزِية::jestem Angielką}}.	Anā {{c1::inglīziyya}}.
أنَا {{c1::أَمْرِيكِية::jestem Amerykanką}}.	Anā {{c1::amrīkiyya}}.
أنَا {{c1::أَلْمَانِية::jestem Niemką}}.	Anā {{c1::almāniyya}}.
أنَا {{c1::فَرِنْسِية::jestem Francuzką}}.	Anā {{c1::faransiyya}}.
أنَا {{c1::فَرَنْسَاوِية::jestem Francuzką}}.	Anā {{c1::faransāwiyya}}.
أنَا {{c1::بَلْجِيكِية::jestem Belgijką}}.	Anā {{c1::baljīkiyya}}.
أنَا {{c1::هُولَنْدِية::jestem Holenderką}}.	Anā {{c1::hūlandiyya}}.
أنَا {{c1::دِنِمَارْكِية::jestem Dunką}}.	Anā {{c1::dinmārkiyya}}.
أنَا {{c1::سُوِيِسْرِية::jestem Szwajcarką}}.	Anā {{c1::swīsriyya}}.
أنَا {{c1::سُوِيدِية::jestem Szwedką}}.	Anā {{c1::swīdiyya}}.
أنَا {{c1::نُرْوِيجِية::jestem Norweżką}}.	Anā {{c1::norwīgiyya}}.
